SF,Pattern,query_number,Run,visual_name,p50
10,Direct_Query,18,3,Slicer,655.4529666900635
10,Direct_Query,19,1,Catalog Sales Quantity YoY,4423.533201217651
10,Direct_Query,19,2,Catalog Sales Quantity YoY,5071.024179458618
10,Direct_Query,19,3,Catalog Sales Quantity YoY,6309.869050979614
10,Direct_Query,20,1,Store Profit % Split by Category,1477.550983428955
10,Direct_Query,20,2,Store Profit % Split by Category,1558.391809463501
10,Direct_Query,20,3,Store Profit % Split by Category,1586.869716644287
10,Direct_Query,21,1,Slicer,45.03583908081055
10,Direct_Query,21,2,Slicer,46.27251625061035
10,Direct_Query,21,3,Slicer,51.12743377685547
10,Direct_Query,22,1,Catalog Revenue Ranked by Promotion,1589.0555381774902
10,Direct_Query,22,2,Catalog Revenue Ranked by Promotion,1650.2141952514648
10,Direct_Query,22,3,Catalog Revenue Ranked by Promotion,1561.011791229248
10,Direct_Query,23,1,Card,1597.0592498779297
10,Direct_Query,23,2,Card,1576.6398906707764
10,Direct_Query,23,3,Card,1539.2897129058838
10,Direct_Query,24,1,Store Revenue Time Analysis,6460.073232650757
10,Direct_Query,24,2,Store Revenue Time Analysis,7425.804615020752
10,Direct_Query,24,3,Store Revenue Time Analysis,9555.839538574219
10,fab_dl,1,1,Catalog Sales Quantity YoY,15073.252201080322
10,fab_dl,1,2,Catalog Sales Quantity YoY,353.8243770599365
10,fab_dl,1,3,Catalog Sales Quantity YoY,405.3454399108887
10,fab_dl,2,1,Store Profit % Split by Category,14861.723899841309
10,fab_dl,2,2,Store Profit % Split by Category,173.6593246459961
10,fab_dl,2,3,Store Profit % Split by Category,165.85421562194824
10,fab_dl,3,1,Slicer,183.71200561523438
10,fab_dl,3,2,Slicer,52.39224433898926
10,fab_dl,3,3,Slicer,54.16107177734375
10,fab_dl,4,1,Catalog Revenue Ranked by Promotion,8926.705837249756
10,fab_dl,4,2,Catalog Revenue Ranked by Promotion,188.8449192047119
10,fab_dl,4,3,Catalog Revenue Ranked by Promotion,197.6156234741211
10,fab_dl,5,1,Card,5601.886034011841
10,fab_dl,5,2,Card,160.76016426086426
10,fab_dl,5,3,Card,147.7818489074707
10,fab_dl,6,1,Store Revenue Time Analysis,10924.858331680298
10,fab_dl,6,2,Store Revenue Time Analysis,696.3064670562744
10,fab_dl,6,3,Store Revenue Time Analysis,793.4622764587402
10,fab_dl,7,1,Slicer,49.83925819396973
10,fab_dl,7,2,Slicer,48.970937728881836
10,fab_dl,7,3,Slicer,50.612688064575195
10,fab_dl,8,1,Slicer,51.61547660827637
10,fab_dl,8,2,Slicer,49.91745948791504
10,fab_dl,8,3,Slicer,52.077531814575195
10,fab_dl,9,1,Catalog Sales Quantity YoY,411.3287925720215
10,fab_dl,9,2,Catalog Sales Quantity YoY,290.2994155883789
10,fab_dl,9,3,Catalog Sales Quantity YoY,281.5284729003906
10,fab_dl,10,1,Store Profit % Split by Category,4976.433753967285
10,fab_dl,10,2,Store Profit % Split by Category,159.58619117736816
10,fab_dl,10,3,Store Profit % Split by Category,155.58528900146484
10,fab_dl,11,1,Slicer,127.42114067077637
10,fab_dl,11,2,Slicer,47.07193374633789
10,fab_dl,11,3,Slicer,49.32522773742676
10,fab_dl,12,1,Catalog Revenue Ranked by Promotion,612.7793788909912
10,fab_dl,12,2,Catalog Revenue Ranked by Promotion,157.70840644836426
10,fab_dl,12,3,Catalog Revenue Ranked by Promotion,157.51099586486816
10,fab_dl,13,1,Card,268.6789035797119
10,fab_dl,13,2,Card,159.24811363220215
10,fab_dl,13,3,Card,157.18531608581543
10,fab_dl,14,1,Store Revenue Time Analysis,1606.7874431610107
10,fab_dl,14,2,Store Revenue Time Analysis,857.919454574585
10,fab_dl,14,3,Store Revenue Time Analysis,674.0219593048096
10,fab_dl,15,1,Slicer,55.05204200744629
10,fab_dl,15,2,Slicer,50.24909973144531
10,fab_dl,15,3,Slicer,50.83298683166504
10,fab_dl,16,1,Slicer,54.560184478759766
10,fab_dl,16,2,Slicer,50.37498474121094
10,fab_dl,16,3,Slicer,54.34465408325195
10,fab_dl,17,1,Slicer,54.16727066040039
10,fab_dl,17,2,Slicer,50.073862075805664
10,fab_dl,17,3,Slicer,51.10502243041992
10,fab_dl,18,1,Slicer,51.52630805969238
10,fab_dl,18,2,Slicer,49.173593521118164
10,fab_dl,18,3,Slicer,49.65639114379883
10,fab_dl,19,1,Catalog Sales Quantity YoY,6409.895181655884
10,fab_dl,19,2,Catalog Sales Quantity YoY,342.7426815032959
10,fab_dl,19,3,Catalog Sales Quantity YoY,299.990177154541
10,fab_dl,20,1,Store Profit % Split by Category,226.55034065246582
10,fab_dl,20,2,Store Profit % Split by Category,150.91848373413086
10,fab_dl,20,3,Store Profit % Split by Category,162.05763816833496
10,fab_dl,21,1,Slicer,49.30830001831055
10,fab_dl,21,2,Slicer,51.17154121398926
10,fab_dl,21,3,Slicer,49.60942268371582
